F1,Istanbul,Paris,10-01-2026 21:05,21:05,180,2000.0,P1,Test
F2,Ankara,Berlin,10-01-2026 21:05,21:05,180,2000.0,P2,Test
TK-TEST,Istanbul,Ankara,15-01-2026 21:15,21:15,60,450.0,P-TEST,Boeing 737
TK-TEST,Istanbul,Ankara,15-01-2026 21:21,21:21,60,450.0,P-TEST,Boeing 737
TK-TEST,Istanbul,Ankara,15-01-2026 21:22,21:22,60,450.0,P-TEST,Boeing 737
TK-TEST,Istanbul,Ankara,15-01-2026 21:22,21:22,60,450.0,P-TEST,Boeing 737
TK-TEST,Istanbul,Ankara,15-01-2026 21:23,21:23,60,450.0,P-TEST,Boeing 737
TK-TEST,Istanbul,Ankara,15-01-2026 21:28,21:28,60,450.0,P-TEST,Boeing 737
TK-TEST,Istanbul,Ankara,15-01-2026 21:34,21:34,60,450.0,P-TEST,Boeing 737
TK-TEST,Istanbul,Ankara,15-01-2026 21:57,21:57,60,450.0,P-TEST,Boeing 737
TK-TEST,Istanbul,Ankara,15-01-2026 22:01,22:01,60,450.0,P-TEST,Boeing 737
TK-TEST,Istanbul,Ankara,15-01-2026 22:02,22:02,60,450.0,P-TEST,Boeing 737
